nrCrt,Denumire agent economic,cod unic de inregistrare
146,BALOG A ELISABETA PFA,19565960
147,BALOGH SNC,711208
148,BALSINABA SRL,39739620
149,BANCOS G. CORNELIA P.F.A.,29811663
150,Banu company. Srl,RO25128111
151,BAR EXIM SRL,RO16104873
152,BARA I GEORGETA COMERT CU PRODUSE ALIMENTARE INTREPRINDERE INDIVIDUALA,26546643
153,BARLEA VIOLEA INTREP FAMILIARA,RO18124397
154,BATINAS ELISABETA INTREPRINDERE INDIVIDUALA,27316090
155,BAZAR PRODUCTION SRL,RO16145571
156,BDP INVEST SRL,RO26662354
157,BECA SRL,RO569554
158,Beemgiuliam SRL-D,RO35468781
159,Bejenaru Elena Ã®ntreprindere individualÄ,16288253
160,Bekmar Market Srl,RO32180465
161,Belcin Tincuta,RO6393251
162,Bella.Piter S.R.L,39896217
163,BELLE ANA MARIA COSMETICS SRL,RO15834730
164,BELOFRUCT SRL,RO15867885
165,BENC I MARIOARA II,17324451
166,BENSTAR  SERVICE SRL,RO26745689
167,BERBEC IMPEX SRL,RO14318129
168,BEREZKA STORES SRL,RO33635883
169,BEST SOL HORECA SRL,RO32664910
170,BESTLAE SRL,RO27646144
171,Bezelini,RO16946707
172,BEZNA ION-VIOREL INTREPRINDERE INDIVIDUALA,RO34249783
173,BIA-GOBI SRL,36110683
174,BIANCO & NERO COMPROD SRL,RO6272284
175,BIG MALL LORENZO.SRL,RO29908683
176,BIHIC MARIOARA INTREPRINDERE INDIVIDUALA,26193053
177,BILCAM COM SRL,9785721
178,BIOTON SRL,RO6604847
179,BIRISAN I. MARIANA PERSOANA FIZICA AUTORIZATA,40858489
180,BITI INTERNATIONAL SRL,5677832
181,BIVAM COM 2016,36555460
182,BLAGA GEORGETA MIHAELA IF,29977012
183,BLETONY PROD,6352928
184,BLUE SAND & MORE,RO39281343
185,BOB FLORIS,15204823
186,BOBISOR PRODCOM SRL,RO7190700
187,BOBIX STAR SRL,RO5897730
188,BOBOCEA VASILICA INTREPRINDERE INDIVIDUALA,20229255
189,Bobu Viorel ii,40574339
190,BOBY & SERGIU SRL,21543344
191,BOG MINIALPIN IMPEX SRL,6836960
192,BOGLAR CORONITA SRL,RO36509383
193,BOGLAVIS TRANS SRL,12391603
194,BOLEX COM SRL,RO6253428
195,Boncilica F. Marian Persoana Fizica Autorizata,40833042
196,BONO IMPEX SRL,RO4432338
197,Boom Boo S.R.L.,RO31730820
198,BORANGIC MARIN INTEPRINDERE FAMILIALA,6342088
199,Boros Florin Intreprindere Individuala,29036606
200,BOROS I.ILEANA  INTREPRINDERE INDIVIDUALA,RO30507464
201,BOSCO SRL,RO8526613
202,Bosoiu N. Dumitru Intreprindere familiala,17367967
203,bostaca m iurie ii,33274061
204,BOTA RADU NICU PERSOANA FIZICA AUTORIZATA,20541736
205,BOÈU IMPEX,15756259
206,BOZZO IMPEX SRL,RO8016487
207,BRALI COM SRL,RO17031427
208,BRANZILA BIATRICE DANIEL INTREPRINDERE INDIVIDUALA,28961999
209,BREZEANU G CARMEN ARDEALUL 97 INTREPRINDERE FAMILIALA,9734337
210,BRILA COM SRL,RO21060498
211,BRIMONA SISTEM SRL,RO31324996
212,BRODEALA CORNEL INTREPRINDERE FAMILIALA,RO16446868
213,BUDUR MARIANA PFA,31701905
214,Budwo SRL,RO170218
215,BUGAN PAN,RO33340840
216,BUHACEANU GIANI IONEL  INTREPRINDERE INDIVIDUALA,15529981
217,BUHLEA GHEORGHITA,40926613
218,BUJOR SRL,3988050
219,BULIGA IMPEX SRL,RO2067627
220,BUMA EXPERIENCE SRL,RO6875471
221,Bunescu Adriana-Gabriela,RO5168367
222,BURDE MARIA PFA,33947605
223,BURGHELEA VASILE INTREPRINDERE INDIVIDUALA,21304606
224,BURLEANU LIDIA PFA,22696079
225,BURZ IOAN,15879510
226,BUSINESS DEVELOPMENT TEAM SRL,RO12519681
227,BUTISIV SRL,RO3481006
228,BUTNARIU P.MIHAELA INTREPRINDERE INDIVIDUALA,25769930
229,BUTUZA LOREDANA -MARIA II,29647952
230,BUZAIANU IOANA,8635823
231,BUZGAN S.I. STEFAN I.I.,39670618
232,Buzi Comercial Srl,RO16764268
233,C&C CONCEPT DIRECT SRL,RO33865335
234,C&D AVANTAJ MARKET,31393031
235,C.M.A. INVESTMENT S.R.L.,RO34917521
236,CAFE ANGLAIS,RO30909666
237,CAFE BAR LONGE CAFE SRL,39537370
238,CAILEAN POMPEI IONEL INTREPRINDERE INDIVIDUALA,31172596
239,CALARETUL SRL,RO1138703
240,Caldararu Vasilica,RO22506743
241,CALGIRA TRANSILVANIA SRL,RO30177269
242,CALINESCU F. IOANA INTREPRINDERE INDIVIDUALÄ,40866104
243,CAMIBOLD SRL,16858516
244,Camino Fun,RO36400814
245,CAMVITSAND SRL,40048032
246,CANE GEORGE-EMILIAN INTREPRINDERE INDIVIDUALA,RO31162460
247,CÄprÄroiu IonuÈ Radu,39068362
248,CARAMI SRL,RO1126938
249,CASA OLTENU 2005 srl,RO18085441
250,CASABLANCA COM-IMPEX SRL,RO8030678
251,Casnica srl,RO17588607
252,Caspic-Georgia,6416738
253,CATALIN & IULIA S.R.L.,RO14688504
254,CATALINA COM SRL,RO4862688
255,Catasil Srl,RO18986678
256,CATI SILE SRL,RO1471200
257,catianschi,RO30674381
258,cattleya auto,RO30161360
259,CATY CONCEPT BUSINESS,RO31271735
260,CDM AUTOGAZ SRL,RO36646305
261,CEL MAI CAL FRUMOS SRL,RO28712416
262,CEPLINSCOM SRL,RO10158580
263,CERAMICA Y DECORACION ESPANOLA,RO28210584
264,CEREPESTAGRO SRL,RO25851738
265,CERNUCAN MARIA II,32728950
266,CERTIMPEX S.R.L.,RO1449130
267,CETATEA ALMAS PRODCOM SRL,RO5360302
268,CHELARASU ORTANSA INTREPRINDERE INDIVIDUALA,20672596
269,CHIRCA IONELA IF,30271591
270,"CHIRITA E VASILICA ,, COMERT CU PRODUSE ALIMENTARE,,INTREPRINDERE INDIVIDUALA",25983801
271,CHRIS & ALFA,RO13759747
272,Christian Minimarket SRL,RO24867167
273,CICICU UNDOG,RO7190115
274,CIF-COM S.R.L.,RO6757069
275,CIMETI COM SRL,RO15801759
276,CIOACA I. SANDA INTREPRINDERE INDIVIDUALA,40926320
277,CIOBANU ALINA-NICOLETA INTREPRINDERE INDIVIDUALA,33282811
278,CIOBANU CIPRIAN FLORIN,38227443
279,Ciobanu Maria Intreprindere Individuala,29963190
280,CIOCAN DUMITRU (FLORIMAR) INTREPRINDERE INDIVIDUALA,20072672
281,CIOCOFLENDER BAR SRL,37306220
282,Cirneci Florin,38162093
283,cis metal 2000 impex srl,RO12714658
284,CÃ®Èulescu Iulian,13537686
285,CIUBOTARIU LEONARD II,RO6566999
286,ciuca aurelian valentin ii,36415084
287,CIUCA I. IONELA INTREPRINDERE INDIVIDUALA,39968739
288,CIUCA V. EUGENIA INTREPRINDERE INDIVIDUALA,RO14243077
289,CIULE MARCELA RODICA PFA,34370342
290,CIUPY CAFFE SRL,RO29447008
291,CIURARIU LAURENTIU INTREPRINDERE INDIVIDUALA,27937950
292,CLARA SERVCOM SRL,RO10073611
293,CLAUDIA REN S.R.L,19079928
294,CLEMANTIC SRL,RO17553714
295,CLEO COM SRL,RO2292769
296,CLUB BIZAR SRL,38870260
297,COARFA V NICOLAE INTREPRINDERE INDIVIDUALA,20890086
298,COBRA EURO IMPEX SRL,RO1165171
299,COBZARU CORNELIU ÃNTREPRINDERE FAMILIALÄ,RO18096491
300,CODAREAN LIVIU PERSOANA FIZICA AURTORIZATA,28534653
301,Codita Elena I.Fam.,24550575
302,Cofetaria Narcisa,1355443
303,COJOACA P. ALEXANDRU PERSOANA FIZICA AUTORIZATA,35943057
304,COLI COM SRL,RO7047043
305,COM ARGHIR IMPEX,RO5685819
306,COM IMPEX CENCA SRL,RO478510
307,Comercial 94 SRL,RO5457241
308,COMERT LUCI,RO8030767
309,ComerÈ Szilveszter,5435367
310,COMOSIL AUTO SRL,RO11794233
311,COMP TORPEDO ALIMENT,RO436698
312,Compania de Logistica si Distributie Wit SRL,RO18427757
313,COMPANY BRAVO COMIMPEX SRL,RO12440250
314,complex tudor aliment,RO13213086
315,COMPRODEXIM SERV GEO-ANDREEA SRL,RO5440819
316,COMTRATUR S.R.L.,RO3390021
317,Conacul Sandoria Srl,38967689
318,CONFIDENT S.R.L.,RO14403321
319,CONFORT FLORESTI SRL,RO39119679
320,CONSEL MIXT,RO12235647
321,Constantin F. Maria Ãntreprindere Individuala,38000458
322,CONSTANTIN GHE. MARIN PERSOANA FIZICA AUTORIZATA,20158200
323,CONSTANTIN N. GHEORGHE- INTREPRINDERE FAMILIALA,21872550
324,Constantinescu Camelia Denisa Intreprindere Individuala,33093030
325,CONSTANTINESCU GHE. CORNELIA PFA,28306469
326,CONSTRUCTII DE LA A LA Z SRL,7505400
327,CONSUMCOOP ALUNU SOCIETATE COOPERATIVA,RO2547803
328,CONSUMCOOP CALIMANESTI SOCIETATE COOPERATIVA,RO2542580
329,CONSUMCOOP CURTEA DE ARGES SOCIETATE COOPERATIVAC,RO157570
330,CONSUMCOOP FOIENI,RO671189
331,CONSUMCOOP MIHAESTI SOCIETATE COOPERATIVA,RO2553171
332,CONSUMCOOP SARMASU SOCIETATE COOPERATIVA,RO1275557
333,Consuncoop sibiu - societate cooperativa,RO2577804
334,Coop Beresti-Tazlau,RO973632
335,COOP DE CONSUM ILEANDA SOCIETATE COOPERATIVA,706848
336,COOP STRAJA SOCIETATE COOPERATIVA,RO2665159
337,COOP-BUCOVINA- SOCIETATE COOPERATIVA DE CONSUM,RO2690926
338,COOPERATIVA DE CONSUM AIUD SOCIETATE COOPERATIVA,RO1765605
339,COOPERATIVA DE CONSUM BALS SOCIETATE COOPERATIVA,RO1510610
340,COOPERATIVA DE CONSUM BELIS SOCIETATE COOPERATIVA,2893300
341,Cooperativa de consum Campia Turzii,RO256298
342,COOPERATIVA DE CONSUM IZVORUL CRISULUI SOCIETATE COOPERATIVA,256867
343,COOPERATIVA DE CONSUM MARGAU SOCIETATE COOPERATIVA,2893203
344,Cooperativa de Consum Noslac - Societate Cooperativa,RO1754231
345,COOPERATIVA DE CONSUM TEIUS SOCIETATE COOPERATIVA,RO1751529
346,CORAL COMPROD SRL,RO3983398
347,CORALEX SRL,RO13350903
348,CORALIA COM SRL,RO8311770
349,Coralisa Eos Srl,RO32321459
350,CORANA IMPEX SRL,RO248295
351,CORBENARI SERV PROD COM SRL,RO5444217
352,CORIN COM SRL,RO6572265
353,CORMAR S.R.L,RO12565521
354,CORNELIA EXPERT GRUP SRL,RO22954607
355,COROANA UNIVERS,RO1113784
356,COROLA ROSA SRL,RO14622429
357,COSMFAN CARMANGERIE SRL,RO6224937
358,COSMOS NIGA SRL,RO0300296
359,Cosoreanu Lucica PFA,22730502
360,COSOVEANU MARIANA INTREPRINDERE INDIVIDUALA,RO24663752
361,Costa matex srl,RO36725786
362,COSTAN GH. VASILE ÃNTREPRINDERE INDIVIDUALÄ,37177975
363,COSTEA IONEL-CRISTIN INTREPRINDERE INDIVIDUALA,32791140
364,COSTYBIB COM SRL,24483638
365,COZAC GEORGETA PERSOANA FIZICA AUTORIZATA,37680674
366,CREBO IMPEX SRL,22275088
367,Crestin Stefan,8443330
368,CRIDI AP SRL,RO4039429
369,CRIDO RESOURCE SRL,RO32142178
370,CRIPO MIXT SRL,40478390
371,Cris Indigo SRL,29365579
372,Crisan I Angela PFA,RO28365783
373,CRISLEY INTERSTAR SRL,RO30948525
374,CRISMAR ACTIV 99 SRL,32253303
375,CRISMAR SRL,RO6005198
376,CRISNIC PRODUCTIE SRL,RO16217732
377,Cristea Luiza Liliana persoana fizica autorizata,35136243
378,CRISTIANA FAUR SRL,RO16842013
379,CROSWAN GAS SRL,RO32105595
380,CRYSTAL PALMIRA SRL,26873637
381,CSALA IMPEX,24450215
382,Csipo Ana PFA,19686997
383,CSIPO ROZALIA INTREPRINDERE FAMILIALA,14833876
384,CSOMA NICOLAE,30143126
385,CUC DUMITRU SNC,RO10943540
386,Cucina Firenze SRL,RO37182475
387,CUMAVI DISTRIBUTIE SRL,38162557
388,cununa de aur prod com srl,RO4891489
389,CUORE COM SRL,RO5436672
390,CURTA MARIA INTREPRINDERE INDIVIDUALA,RO26017073
391,CVC SMART INVICTUS SRL,40084728
392,CYDONIA SRL,RO12144883
393,Cynthia internaÈional srl,RO18190501
394,CYRACOS MAG SRL,29809914
395,CZI SRL,RO21511164
396,D&V Gardel Flor Ali SRL,25820111
